!
! START OF RUN INFORMATION
!  Run number  : 76785
!  Title       : CaF2
!  Temperature : 50.000 K
!  Field       : 0.00 G
!  Comment     : Long ZF run
!  Started     : 2019-06-18  10:15:27
!  Stopped     : 2019-06-18  13:05:47
!  Histograms  : 32 [64 det] (2048 bins of 16000 ps = 32.77 µs)
!  Events      : 180.8 MEv grouped in range (raw = 191.4) [405252 fr, 446 Ev/fr]
! END OF RUN INFORMATION
!
! START OF GROUPING INFORMATION
!  Group#01  Hist(t0): 01( 29) 02( 29) 03( 29) 04( 29) 05( 29) 06( 29) 07( 29) 08( 29) 09( 29) 10( 29) 11( 29) 12( 29) 13( 29) 14( 29) 15( 29) 16( 29) 
!  Group#02  Hist(t0): 17( 29) 18( 29) 19( 29) 20( 29) 21( 29) 22( 29) 23( 29) 24( 29) 25( 29) 26( 29) 27( 29) 28( 29) 29( 29) 30( 29) 31( 29) 32( 29) 
!  Forward Group = 02, Backward Group = 01, Alpha = 1.6280
!  Offset to first good bin =  7, Last good bin = 2048
!  Fixed binning, bunching factor =  5
!  Deadtime correction off
!  Background correction off
! END OF GROUPING INFORMATION
!
! START OF DATA SET INFORMATION
!  Datarow: (Time) (FB asymmetry) (Error) 
!  Title: F-B Asymmetry
!  Xlabel: Time in microseconds
!  Ylabel: % Asymmetry
! END OF DATA SET INFORMATION
!
0.144 8.69862 0.0414345
0.224 8.1232 0.0421011
0.304 7.49501 0.0428036
0.384 6.66565 0.0435434
0.464 5.70019 0.0442492
0.544 4.87737 0.0450057
0.624 3.98382 0.0457637
0.7040001 3.16852 0.0465201
0.784 2.48925 0.0472996
0.864 2.01354 0.048132
0.9440001 1.69964 0.0490007
1.024 1.43886 0.049846
1.104 1.55575 0.05076
1.184 1.75879 0.0516893
1.264 2.14718 0.0526715
1.344 2.52947 0.0536531
1.424 3.12718 0.0546546
1.504 3.67542 0.0556621
1.584 4.29493 0.0567398
1.664 4.89319 0.0578246
1.744 5.2897 0.0588994
1.824 5.6527 0.0599817
1.904 5.87379 0.0610601
1.984 5.83114 0.062199
2.064 6.01181 0.0632901
2.144 5.61089 0.0644181
2.224 5.3243 0.0655883
2.304 4.99318 0.0667886
2.384 4.31495 0.0679355
2.464 3.98124 0.0691482
2.544 3.42519 0.0703304
2.624 2.98074 0.0715435
2.704 2.52844 0.072843
2.784 2.51003 0.0741768
2.864 2.47957 0.0755575
2.944 2.23647 0.0768246
3.024 2.27501 0.0782896
3.104 2.3474 0.079652
3.184 2.44812 0.0812383
3.264 2.72283 0.0826768
3.344 3.0212 0.0841778
3.424 3.13731 0.0857643
3.504 3.39918 0.0874222
3.584 3.21584 0.0889428
3.664 3.46056 0.0905337
3.744 3.31949 0.0921904
3.824 3.23218 0.0939094
3.904 2.86141 0.0955839
3.984 2.53922 0.0973207
4.064 2.31079 0.099006
4.144 2.03465 0.100833
4.224 1.63701 0.102603
4.304 1.67534 0.104462
4.384 1.1703 0.106356
4.464 1.28595 0.108208
4.544 1.09621 0.110149
4.624 1.46796 0.112153
4.704 1.43105 0.114373
4.784 1.64522 0.116354
4.864 2.02284 0.118566
4.944 2.64348 0.120677
5.024 3.15348 0.12316
5.104 3.53707 0.125574
5.184 4.02318 0.127711
5.264 4.24565 0.130238
5.344 4.48475 0.132501
5.424 4.61867 0.13514
5.504 4.54097 0.137615
5.584 4.77314 0.140018
5.664 4.38718 0.142551
5.744 4.46074 0.144959
5.824 3.74301 0.147706
5.904 3.51129 0.150263
